par_code,state,ge14_constituency,mp_name,may_2018_camp,may_2018_party,may_2018_note,june_2018_camp,june_2018_party,june_2018_note,july_2018_camp,july_2018_party,july_2018_note,aug_2018_camp,aug_2018_party,aug_2018_note,sept_2018_camp,sept_2018_party,sept_2018_note,oct_2018_camp,oct_2018_party,oct_2018_note,nov_2018_camp,nov_2018_party,nov_2018_note,dec_2018_camp,dec_2018_party,dec_2018_note
P096,Selangor,Kuala Selangor,Dzulkefly Ahmad,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P097,Selangor,Selayang,William Leong Jee Keen,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P098,Selangor,Gombak,Mohamed Azmin Ali,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P099,Selangor,Ampang,Zuraida Kamaruddin,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P100,Selangor,Pandan,Wan Azizah Wan Ismail,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P101,Selangor,Hulu Langat,Hasanuddin Mohd Yunus,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P102,Selangor,Bangi,Ong Kian Ming,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P103,Selangor,Puchong,Gobind Singh Deo,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P104,Selangor,Subang,Wong Chen,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P105,Selangor,Petaling Jaya ,Maria Chin Abdullah,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P106,Selangor,Damansara,Tony Pua,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P107,Selangor,Sungai Buloh,Sivarasa Rasiah,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P108,Selangor,Shah Alam,Khalid Abd Samad,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P109,Selangor,Kapar,Abdullah Sani Abdul Hamid,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P110,Selangor,Klang,Charles Santiago,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P111,Selangor,Kota Raja,Mohamad Sabu,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P112,Selangor,Kuala Langat,Xavier Jayakumar Arulanandam,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P113,Selangor,Sepang,Mohamed Hanipa Maidin,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P114,W.P. Kuala Lumpur,Kepong,Lim Lip Eng,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
P115,W.P. Kuala Lumpur,Batu,Prabakaran Parameswaran,Independent,Independent,,Harapan,PKR,13/05/2018,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P116,W.P. Kuala Lumpur,Wangsa Maju,Tan Yee Kew,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P117,W.P. Kuala Lumpur,Segambut,Yeoh Tseow Suan,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,,Harapan,DAP,
